product_name	cross_lob_exec	dev_analyst	ent_cloud_arch	finance	it_exec	it_in_lob	it_ops	marketing
Mac OS	-0.940525364331	1.1659994063	1.02534457333	-1.08434626755	-0.895326428436	2.12995655215	-0.0365136441334	-1.36458882733
Aprimo	-0.431649275798	-0.549572481768	-0.188594628217	3.22311574399	-0.248750117703	-0.807292016724	-0.191957450465	-0.805299773309
Ariba (Unspecified Product)	0.96153143894	-1.89242149837	2.2202797053	-1.01100242806	1.34025538937	-1.95471751778	-0.590488972585	0.926563883189
Atlassian (Unspecified Product)	2.05050292073	1.93393715847	-1.1936099748	-0.7387809325	-0.979898247797	-1.22144018739	-0.429645474025	0.578934737317
Autodesk AutoCAD	0.539703412647	-0.559183832553	-0.445793230652	-2.25882337272	1.20444530962	2.1311859543	-0.968155892937	0.356621652297
Autodesk (Unspecified Product)	-0.657681867611	0.645474567154	-0.172201015923	-0.360378382037	-0.169361634634	-0.712303973481	-0.153676711014	1.58012901755
BlackBerry	1.17294713379	1.45309619597	-1.32595963824	3.0158108803	-0.747260978026	-1.62726429477	-0.509497187678	-1.43187211135
Blue Coat	-0.0783824489475	0.619758786063	1.2520150788	-1.54498162946	0.637187456751	2.21694017544	-1.16496722551	-1.93757019314
Dassault CATIA	0.884504229802	-0.104867978893	0.0720351075133	-0.480242078533	-0.2018657413	1.03072273102	-1.61567506895	0.415388799339
NetSuite	1.14465788874	-1.33934460348	-0.27353266115	-1.13622395963	0.621062418827	0.75396833168	-1.17671411034	1.40612669534
Microsoft Outlook	0.505215695569	-0.824408454498	-0.218633338085	-0.469246567627	0.521431275088	1.05266243132	-1.37659760753	0.809576565767
CommVault	0.119188362759	-1.13002957574	1.66690968874	-0.665717421354	-1.17999446216	-1.05771384616	1.74934518592	0.498012067991
IBM Coremetrics	-0.337695694487	-0.259898219286	-0.0802243456357	-0.280233627655	-0.134386668496	-0.356119570604	-0.0700385716766	1.51859669784
Coverity	-0.326943234142	1.91206090908	-0.402237454471	0.496171674524	-0.242357269849	-0.779676332603	-0.135666068293	-0.521352224242
Cvent	2.06689354505	-2.20392523742	-0.917112034019	-0.405047495716	-1.03760283945	1.76027250397	-0.329058121241	1.06557967882
Deltek (Unspecified Product)	-1.55397342918	1.85423733188	-1.04761128307	2.36381923061	0.486610106261	-1.51159481584	-0.728155369667	0.136668229011
EnterpriseDB	0.483204946179	0.488057465317	-1.73160031214	0.716624215533	-0.608765171437	0.0889224910567	-0.729585973489	1.29314233898
ESRI	-0.882722056409	-0.990075775573	1.38602590306	-0.421440021309	0.861163611624	-1.36593811527	0.751558396323	0.66142805755
FileMaker	-0.178939018185	1.62820402098	-0.0419529653491	-0.162473853262	-0.078643753591	-0.335301441103	-0.0220767262943	-0.808816263198
IBM FileNet	-0.776943214773	2.01446295719	-0.260517154245	-0.587154128535	-0.272937790657	-1.00062926253	-0.162397133294	1.04611572685
Fortinet	-0.288349486743	-0.499862904525	-0.185004568191	-0.364214096154	-0.238894435007	2.27369913027	-0.120605144551	-0.576768495097
