unit,[116, 32, 116, 32, 112, 32, 116, 32, 112, 32, 113, 34, 116, 32, 116, 32, 116, 32, 112, 32, 113, 34, 112, 32, 112, 32, 124, 32, 116, 32, 113, 34, 124, 32, 112, 32, 113, 34, 113, 34, 116, 32, 116, 32, 112, 32, 116, 32, 113, 34, 116, 32, 113, 34, 112, 32, 116, 32, 116, 32, 116, 32]
dna,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
therefore,[91, 18, 79, 44, 124, 32, 124, 32, 126, 31, 124, 32, 124, 37, 126, 31, 120, 30, 91, 18, 77, 47, 124, 32, 127, 31, 124, 32, 126, 31, 124, 32, 126, 31, 124, 32, 126, 31, 124, 32, 125, 28, 125, 28, 124, 32, 126, 31, 124, 37, 124, 32, 124, 32, 77, 56, 124, 32, 124, 37, 77, 52]
passport,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
until,[124, 115, 112, 32, 124, 115, 112, 32, 124, 115, 124, 115, 124, 115, 120, 30, 124, 115, 112, 32, 124, 115, 124, 115, 124, 115, 116, 32, 116, 32, 112, 32, 120, 30, 124, 115, 124, 115, 124, 32, 124, 115, 124, 115, 124, 115, 124, 115, 124, 115, 124, 115, 124, 115, 124, 32, 112, 32, 112, 32, 120, 30]
expiring,[112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 113, 34, 112, 32, 112, 32]
paperwork,[112, 33, 112, 32, 112, 33, 112, 33, 113, 34, 113, 34, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 33, 113, 34, 113, 34, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 33, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32]
standardized,[112, 33, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 33, 112, 33, 112, 32, 112, 33, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 33, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 33, 112, 32, 112, 32, 112, 32]
relay,[113, 34, 112, 33, 112, 33, 112, 33, 113, 34, 113, 34, 112, 33, 116, 32, 113, 34, 113, 34, 112, 32, 112, 32, 112, 32, 112, 33, 112, 32, 112, 33, 113, 34, 112, 33, 112, 32, 112, 32, 112, 33, 112, 33, 112, 32, 112, 33, 112, 32, 112, 33, 116, 32, 112, 32, 124, 32, 112, 32, 113, 34]
populations,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 124, 32, 112, 32, 112, 32, 112, 32]
successful,[124, 37, 124, 37, 124, 32, 124, 32, 124, 32, 124, 37, 124, 32, 125, 33, 124, 32, 124, 32, 124, 32, 112, 32, 124, 32, 124, 32, 124, 32, 124, 32, 124, 32, 124, 32, 124, 32, 124, 32, 124, 32, 124, 32, 124, 32, 126, 31, 124, 32, 126, 31, 124, 32, 124, 32, 124, 32, 124, 37, 124, 32]
