product_id	date	duns_product_hits
20	200911	1624
20	200602	273
20	200603	365
20	200601	1221
20	200608	491
20	200609	502
20	200204	25
20	200007	17
20	201508	17486
20	201509	24288
20	201502	8085
20	201503	8980
20	201501	12186
20	201506	9753
20	201507	10995
20	201504	10550
20	201505	8855
20	200109	20
20	200108	29
20	201210	5382
20	200205	31
20	200101	233
20	200103	29
20	201109	4269
20	200512	292
20	200104	21
20	200510	137
20	200511	274
20	201612	15614
20	201511	20042
20	201610	22005
20	201611	11089
20	200611	488
20	200904	1333
20	200907	1351
20	201107	3764
20	200909	1634
20	200908	1607
20	200208	23
20	201105	3684
20	200202	13
20	200203	29
20	200201	202
20	201212	5514
20	200207	17
20	201108	4198
20	201211	4887
20	201106	3885
20	201510	14138
20	201104	3634
20	201512	20161
20	201102	3100
20	201103	3523
20	201101	6000
21	200211	266
21	200606	2463
21	200509	646
21	200508	704
21	200505	639
21	200504	524
21	200507	589
21	200506	637
21	200501	2697
21	200503	557
21	200502	450
21	201601	6208
21	201603	7849
21	201602	6055
21	201605	5838
21	201604	4058
21	201607	4906
21	201606	7243
21	201609	4355
21	201608	6008
21	201205	3204
21	201204	3215
21	201207	3103
21	201206	3288
21	201201	4777
21	201203	3164
21	201202	3000
21	201209	3095
21	201208	3299
21	201112	3087
21	200001	1842
21	200002	259
21	200003	333
21	200004	294
21	200005	300
21	200006	349
21	200007	286
21	200008	352
21	200009	339
21	200808	2309
21	200809	2117
21	200612	2295
21	200801	4248
21	200802	2191
21	200803	2258
21	200804	2235
21	200805	2188
21	200806	2194
21	200807	2219
21	200206	366
21	200404	529
21	200405	488
21	200406	528
21	200407	472
21	200401	2400
21	200402	400
21	200403	469
21	201110	2859
21	200408	587
21	200409	506
21	200011	229
21	200010	330
21	200209	385
21	200812	1969
21	200811	1610
21	200810	2069
21	200210	325
21	201701	7049
21	201702	3344
21	201703	3471
21	201704	2069
21	200308	419
21	200412	823
21	200411	468
21	200410	480
21	200512	1929
21	200710	2434
21	200711	2177
21	200712	2193
21	200107	321
21	200511	1523
21	201612	4758
21	201410	4435
21	201309	3728
21	201412	3841
21	201304	3499
21	201305	3682
21	201306	3594
21	201307	3666
21	201301	4814
21	201302	3192
21	201303	3973
21	201611	3997
21	200611	1904
21	201409	3979
21	200904	1631
21	201408	4445
21	200906	1681
21	200903	1678
21	200709	2312
21	200708	2588
21	200707	2382
21	200706	2429
21	200705	2539
21	200704	2365
21	200703	2342
21	200702	2122
21	200701	4376
21	201403	3712
21	201402	3397
21	201401	4963
21	201407	4296
21	201406	3871
21	201405	3795
21	201404	3741
21	201312	3636
21	201311	3336
21	201310	3787
21	200212	604
21	201010	2505
21	201011	2427
21	201012	2662
21	200310	369
21	200311	363
21	200312	707
21	200012	511
21	200102	252
21	201308	3734
21	201411	4170
21	201007	2449
21	201006	2597
21	201005	2479
21	201004	2365
21	201003	2257
21	201002	1906
21	201001	3623
21	201111	2998
21	200604	2006
21	201009	2587
21	201008	2618
21	200309	404
21	200911	1703
21	200303	387
21	200302	317
21	200301	2056
21	200307	354
